,average.loss,average.q,average.reward,episode.avg_reward,episode.max_reward,episode.min_reward,episode.num_of_game,training.learning_rate
33,0.011756542138755322,-1.4571586847305298,-0.01362000033259392,-12.163636207580565,-5.0,-18.0,55.0,0.00025000001187436277
34,0.011997622437775137,-1.4188846349716189,-0.01664000004529953,-13.666666984558105,-2.0,-20.0,60.0,0.00025000001187436277
35,0.011798596940934658,-1.378175139427185,-0.014179999940097332,-12.625,0.0,-19.0,56.0,0.00025000001187436277
36,0.011740039102733135,-1.3087469339370728,-0.013880000449717043,-12.685185432434082,-2.0,-18.0,54.0,0.00025000001187436277
37,0.011491741053760052,-1.2679206132888794,-0.013020000420510769,-12.365385055541992,-4.0,-17.0,52.0,0.00025000001187436277
38,0.012102719396352768,-1.2082815170288086,-0.012319999746978285,-11.90384578704834,1.0,-18.0,52.0,0.00025000001187436277
39,0.012197465635836123,-1.111525297164917,-0.013700000010430813,-12.648148536682127,-2.0,-19.0,54.0,0.00025000001187436277
40,0.01190006174147129,-1.0393027067184448,-0.012059999629855156,-11.423076629638672,-2.0,-18.0,52.0,0.00025000001187436277
41,0.011938256211578846,-1.0249868631362915,-0.0129399998113513,-11.962963104248047,-3.0,-20.0,54.0,0.00025000001187436277
42,0.012101169675588608,-1.0224058628082275,-0.01290000043809414,-12.326923370361328,-4.0,-18.0,52.0,0.00025000001187436277
43,0.011679967865347862,-0.9706748127937316,-0.012199999764561651,-11.803921699523926,-4.0,-19.0,51.0,0.00025000001187436277
44,0.011523872613906859,-0.9400398731231691,-0.012880000285804272,-12.326923370361328,-2.0,-18.0,52.0,0.00025000001187436277
45,0.01274046115577221,-0.8858833909034729,-0.012319999746978285,-12.239999771118164,-4.0,-20.0,50.0,0.00025000001187436277
46,0.012066460214555264,-0.8315208554267883,-0.009999999776482582,-10.80434799194336,-1.0,-19.0,46.0,0.00025000001187436277
47,0.011617518961429596,-0.7653933167457581,-0.010579999536275864,-11.042552947998047,-1.0,-17.0,47.0,0.00025000001187436277
48,0.011785181239247322,-0.7379782199859619,-0.01209999993443489,-12.375,0.0,-17.0,48.0,0.00025000001187436277
49,0.011187439784407616,-0.716033399105072,-0.0104799997061491,-10.791666984558104,4.0,-17.0,48.0,0.00025000001187436277
50,0.01138877123594284,-0.6955674290657043,-0.010979999788105488,-11.659574508666992,-1.0,-19.0,47.0,0.00025000001187436277
51,0.010922227054834366,-0.6721754670143127,-0.011939999647438526,-11.880000114440918,-2.0,-18.0,50.0,0.00025000001187436277
52,0.011021372862160206,-0.6217479705810547,-0.010099999606609344,-10.82608699798584,-6.0,-17.0,46.0,0.00025000001187436277
53,0.011374550871551035,-0.5869273543357849,-0.009499999694526196,-10.399999618530273,6.0,-17.0,45.0,0.00025000001187436277
54,0.011434745043516159,-0.5720971822738647,-0.009700000286102295,-10.56521701812744,-2.0,-18.0,46.0,0.00025000001187436277
55,0.011183212511241436,-0.5749714374542236,-0.009639999829232693,-10.977272987365724,0.0,-18.0,44.0,0.00025000001187436277
56,0.010809748433530329,-0.5633116960525513,-0.009340000338852406,-10.545454978942873,-1.0,-18.0,44.0,0.00025000001187436277
57,0.01142087858170271,-0.5420690774917603,-0.00908000022172928,-10.348836898803713,-2.0,-17.0,43.0,0.00025000001187436277
58,0.011819534935057163,-0.5175252556800842,-0.007880000397562979,-9.04651165008545,2.0,-18.0,43.0,0.00025000001187436277
59,0.010592521168291569,-0.5083193778991699,-0.009359999559819698,-10.222222328186037,-2.0,-16.0,45.0,0.00025000001187436277
60,0.011606491170823574,-0.4998824596405029,-0.00911999959498644,-10.619047164916992,-3.0,-17.0,42.0,0.00025000001187436277
61,0.010997481644153595,-0.4626621007919312,-0.009519999846816065,-10.613636016845703,-2.0,-18.0,44.0,0.00025000001187436277
62,0.01156532671302557,-0.421588271856308,-0.00827999971807003,-9.829268455505373,-2.0,-17.0,41.0,0.00025000001187436277
63,0.012062960304319859,-0.3867301046848297,-0.007739999797195195,-9.095237731933594,4.0,-17.0,42.0,0.00025000001187436277
64,0.011704737320542336,-0.33990010619163513,-0.009139999747276306,-10.7380952835083,-1.0,-19.0,42.0,0.00025000001187436277
65,0.0115764569491148,-0.31216201186180115,-0.009220000356435776,-10.833333015441896,-1.0,-18.0,42.0,0.00025000001187436277
66,0.0108757046982646,-0.286856472492218,-0.008980000391602516,-10.619047164916992,-3.0,-15.0,42.0,0.00025000001187436277
67,0.011300746351480484,-0.2587219476699829,-0.008419999852776527,-10.292682647705078,-2.0,-17.0,41.0,0.00025000001187436277
68,0.010678175836801529,-0.2350034862756729,-0.009619999676942824,-10.909090995788574,-4.0,-17.0,44.0,0.00025000001187436277
69,0.010891692712903023,-0.2545146644115448,-0.007739999797195195,-9.414633750915527,1.0,-16.0,41.0,0.00025000001187436277
70,0.010820689611136913,-0.21722343564033508,-0.0066999997943639755,-8.552631378173826,0.0,-17.0,38.0,0.00025000001187436277
71,0.010848723351955414,-0.20898358523845675,-0.0081599997356534,-9.87804889678955,3.0,-19.0,41.0,0.00025000001187436277
72,0.01105435099452734,-0.1855005919933319,-0.0072800000198185435,-9.256410598754883,5.0,-17.0,39.0,0.00025000001187436277
73,0.010699516162276268,-0.15999886393547058,-0.00834000017493963,-10.146341323852539,-1.0,-17.0,41.0,0.00025000001187436277
74,0.01072163786739111,-0.15468598902225494,-0.007759999949485063,-9.84615421295166,2.0,-15.0,39.0,0.00025000001187436277
75,0.010289832949638368,-0.1589512974023819,-0.008580000139772892,-10.243902206420898,-1.0,-16.0,41.0,0.00025000001187436277
76,0.009813507087528706,-0.1535683423280716,-0.008679999969899654,-10.560976028442383,-3.0,-17.0,41.0,0.00025000001187436277
77,0.0103878453373909,-0.137547105550766,-0.0068999999202787885,-9.189188957214355,7.0,-18.0,37.0,0.00025000001187436277
78,0.010752828791737556,-0.1390363574028015,-0.006719999946653843,-8.789473533630371,1.0,-17.0,38.0,0.00025000001187436277
79,0.010974320583045484,-0.12825192511081696,-0.0069400002248585215,-8.921052932739258,-2.0,-18.0,38.0,0.00025000001187436277
80,0.010832221247255802,-0.10482218116521837,-0.00687999976798892,-8.973684310913086,0.0,-17.0,38.0,0.00025000001187436277
81,0.010593264363706112,-0.08229883760213852,-0.005840000230818987,-8.111110687255861,-2.0,-14.0,36.0,0.00025000001187436277
